Order,Family,Genus,Species,Authority,CommonName,AdultBodyMass,CranialCapacity,DietBreadth,Diet: invertebrates,Diet: vertebrates,Diet: fruits,Diet: flower/nectar/pollen/gums,Diet: seeds,Diet: other plant materials,Diet: scavenge; garbage; carrion; carcasses,TrophicLevel,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid,Alaotra.Mangoro,Amoron.i.Mania,Analamanga,Analanjirofo,Androy,Anosy,Atsimo.Andrefana,Atsimo.Atsinanana,Atsinanana,Betsiboka,Boeny,Bongolava,DIANA,Haute.Matsiatra,Ihorombe,Itasy,Melaky,Menabe,SAVA,Sofia,Vakinankaratra,Vatovavy.Fitovinany,Antananarivo,Antsiranana,Fianarantsoa,Mahajanga,Toamasina,Toliara,References
Primates,Cheirogaleidae,Microcebus,Microcebus gerpi,Radespiel; Ratsimbazafy; Rasoloharijaona; Raveloson; Andriaholinirina; Rakotondravony; Randrianarison  & Randrianambinina; 2012,Gerp's Mouse Lemur,68.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,303; 106; 252
Primates,Cheirogaleidae,Microcebus,Microcebus griseorufus,Kollman; 1910,Grey-brown Mouse Lemur,52.1,-999,5,yes,yes,yes,yes,no,yes,no,2,-999,1,3,52,3,218.85,-999,-999,-999,218.4,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,309; 223; 347; 376; 83; 146; 207; 252; 149; 255
Primates,Cheirogaleidae,Microcebus,Microcebus jollyae,Louis Jr.; Coles; Andriantompohavana; Sommer; Engberg; Zaonarivelo; Mayor & Brenneman; 2006,Jolly's Mouse Lemur,61.3,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,223; 207; 116; 178; 252
Primates,Cheirogaleidae,Microcebus,Microcebus lehilahytsara,Roos & Kappeler; 2005,Goodman's Mouse Lemur,42.3,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,-999,-999,-999,-999,110,1,-999,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,347; 223; 207; 116; 313; 252
Primates,Cheirogaleidae,Microcebus,Microcebus macarthurii,Radespiel; Olivieri; Rasolofoson; Rakotondratsimba; Rakotonirainy; Rasoloharijaona; Randrianambinina; Ratsimbazafy; Ratelolahy; Randriamboavonjy; Rasolofoharivelo; Craul; Rakotozafy & Randrianarison; 2008,MacArthur's Mouse Lemur; Anjiahely Mouse Lemur,53.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,302; 116; 106; 252
Primates,Cheirogaleidae,Microcebus,Microcebus mamiratra,Andriantompohavana; Zaonarivelo; Engberg; Randriamampionona; McGuire; Shore; Rakotonomenjanahary; Brenneman & Louis Jr.; 2006,Claire's Mouse Lemur,60.04,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,262; 223; 116; 106
Primates,Cheirogaleidae,Microcebus,Microcebus margotmarshae,Louis; Engberg; McGuire; McCormick; Randriamampionona; Ranaivoarisoa; Bailey; Mittermeier & Lei; 2008,Margot Marsh's Mouse Lemur; Antafondro Mouse Lemur,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,-999,-999,-999,-999,-999,-999,-999,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,223; 178; 252
Primates,Cheirogaleidae,Microcebus,Microcebus marohita,Rasoloarison; Weisrock; Yoder; Rakotondravony & Kappeler; 2013,Marohita Mouse Lemur,55.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,308; 106; 252
Primates,Cheirogaleidae,Microcebus,Microcebus mittermeieri,Louis Jr.; Coles; Andriantompohavana; Sommer; Engberg; Zaonarivelo; Mayor & Brenneman; 2006,Mittermeier's Mouse Lemur,44.59,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,223; 302; 207; 116; 106; 252
Primates,Cheirogaleidae,Microcebus,Microcebus murinus,(J.F. Miller; 1777),Grey Mouse Lemur; Gray Mouse-lemur; Lesser Mouse-lemur; Grey Mouse-lemur,60.32,1.8,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,60.97,2,219,0.01,461,1,202.2,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,309; 223; 262; 54; 376; 146; 207; 191; 185; 3; 4
